training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
37;2;21;136;27;45428;-27;-27
37;3;32;177;29;48592;-29;-29
37;4;33;158;28;49584;-28;-28
37;5;31;174;30;48196;-30;-30
37;6;25;118;19;54220;-19;-19
37;7;34;183;30;47660;-30;-30
37;8;31;172;34;47052;-34;-34
37;9;33;158;27;49892;-27;-27
37;10;32;175;30;48124;-30;-30
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
38;1;25;107;23;32516;-23;-23
38;2;26;141;27;40052;-27;-27
38;3;27;140;27;50372;-27;-27
38;4;36;176;29;48044;-29;-29
38;5;20;134;26;35620;-26;-26
38;6;17;95;22;54272;-22;-22
38;7;18;125;24;41600;-24;-24
38;8;16;108;23;40996;-23;-23
38;9;25;139;24;51116;-24;-24
38;10;20;125;25;33100;-25;-25
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
39;1;39;159;30;48676;-30;-30
39;2;33;156;27;49584;-27;-27
39;3;46;201;33;45840;-33;-33
39;4;50;164;27;49884;-27;-27
39;5;43;192;33;46524;-33;-33
39;6;33;90;16;56524;-16;-16
39;7;32;176;32;47544;-32;-32
39;8;35;194;38;44468;-38;-38
39;9;38;145;27;50292;-27;-27
39;10;36;159;29;48788;-29;-29
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
40;1;35;194;28;47764;-28;-28
40;2;23;127;19;53460;-19;-19
40;3;26;198;28;46972;-28;-28
40;4;34;185;29;47988;-29;-29
40;5;24;193;29;34108;-29;-29
40;6;21;135;20;52912;-20;-20
40;7;28;162;28;49472;-28;-28
40;8;35;207;33;45200;-33;-33
40;9;23;152;23;50644;-23;-23
40;10;31;204;30;45364;-30;-30
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
41;1;45;141;29;37164;-29;-29
41;2;41;144;27;50240;-27;-27
41;3;34;198;30;45696;-30;-30
41;4;24;299;26;45976;-26;-26
41;5;12;1929;4;5264;-4;-4
41;6;23;956;14;30964;-14;-14
41;7;40;556;23;39896;-23;-23
41;8;40;142;28;38992;-28;-28
41;9;49;163;28;49144;-28;-28
41;10;37;168;31;47940;-31;-31
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
42;1;72;127;31;40452;-31;-31
42;2;39;136;27;50892;-27;-27
42;3;44;117;24;43880;-24;-24
42;4;57;143;28;50896;-28;-28
42;5;45;145;27;33940;-27;-27
42;6;34;103;21;54184;-21;-21
42;7;58;144;31;49660;-31;-31
42;8;37;159;30;41812;-30;-30
42;9;45;116;24;52748;-24;-24
42;10;51;137;28;34756;-28;-28
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
43;1;55;174;32;47256;-32;-32
43;2;40;130;26;51448;-26;-26
43;3;43;150;30;49588;-30;-30
43;4;45;150;31;49364;-31;-31
43;5;66;194;32;46032;-32;-32
43;6;35;107;21;54180;-21;-21
43;7;50;140;30;49716;-30;-30
43;8;50;149;29;50040;-29;-29
43;9;46;135;26;51208;-26;-26
43;10;45;369;30;41520;-30;-30
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
44;1;26;989;19;27856;-19;-19
44;2;30;719;18;35992;-18;-18
