training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
45;3;247;274;41;30820;-9,5;-11
45;4;147;165;31;19356;-16;0,5
45;5;140;160;26;5448;-18,5;5,5
45;6;157;186;35;30732;-14;-3,5
45;7;163;186;32;19368;-15,5;-0,5
45;8;205;233;38;34344;-6,5;-12,5
45;9;156;164;33;32048;-15;-1,5
45;10;195;202;34;26212;-14,5;-2,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
46;1;149;200;33;21348;-15;-1,5
46;2;172;212;38;38128;-12,5;-6,5
46;3;157;186;36;37828;-13,5;-4,5
46;4;180;173;36;39684;-4,5;-13,5
46;5;200;247;39;32576;-7,5;-12
46;6;201;206;38;37708;-12,5;-6,5
46;7;154;203;36;26424;-13,5;-4,5
46;8;181;232;36;36628;-4,5;-13,5
46;9;192;228;20;43964;4;-22
46;10;162;194;40;32596;-8,5;-11,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
47;1;148;175;35;33584;-14;-3,5
47;2;154;213;23;47200;5,5;-21,5
47;3;192;247;37;35600;-13;-5,5
47;4;199;230;23;44156;5,5;-25
47;5;193;251;36;31040;-13,5;-4,5
47;6;144;193;20;48856;4;-19
47;7;175;231;39;38676;-12;-7,5
47;8;171;246;35;33012;-3,5;-14
47;9;192;253;21;43132;4,5;-23
47;10;178;224;35;30144;-14;-3,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
48;1;186;235;32;3744;-0,5;-15,5
48;2;194;197;30;6260;-16,5;1,5
48;3;197;214;36;6768;-13,5;-4,5
48;4;230;263;39;8496;-12;-7,5
48;5;190;195;34;7820;-14,5;-2,5
48;6;228;235;39;3884;-7,5;-12
48;7;206;232;31;4276;-16;0,5
48;8;141;160;28;3504;-17,5;3,5
48;9;168;168;33;4068;-15;-1,5
48;10;217;226;36;4840;-13,5;-4,5
training Epoch;Seed;WallBounces;SideBounce;Points;ServingTime;RewardA;RewardB
49;1;151;234;37;18212;-5,5;-13
49;2;166;253;34;28968;-14,5;-2,5
49;3;164;259;38;14280;-12,5;-6,5
49;4;188;312;41;29072;-9,5;-11
49;5;159;228;32;13372;-15,5;-0,5
49;6;165;271;37;18384;-5,5;-13
49;7;173;289;40;29916;-11,5;-8,5
49;8;147;217;36;14220;-13,5;-4,5
49;9;166;270;39;27032;-12;-7,5
49;10;160;252;39;28388;-12;-7,5
